time_min,Output_pct,ScaledInput_degC,degC_per_h,CumulOut_degC
0.0,0,21.2,4.019810735235861,21.2
0.083335,0,21.1,3.5527831423595133,21.2
0.16676216666666666,0,21.1,3.1579682594313856,21.2
0.2505235,0,21.2,2.8225351942895673,21.2
0.3341925,0,21.2,2.5359731975254998,21.2
0.41753133333333337,0,21.2,2.2895015656962068,21.2
0.5010591666666666,0,21.2,2.0763857939541333,21.2
0.5846396666666667,0,21.2,1.8906312451186926,21.2
0.6681871666666667,0,21.2,2.754663401637103,21.2
0.7515821666666667,0,21.2,3.3584947890073495,21.2
0.8351973333333332,0,21.2,3.7722020266342158,21.2
0.9188601666666667,0,21.2,4.046044764665931,21.2
1.0024411666666666,0,21.2,4.216540082810983,21.2
1.0858556666666666,0,21.2,4.747501572257057,21.2
1.1692755,0,21.2,4.435434771762443,21.2
1.2526415000000002,0,21.2,3.9982835184113075,21.2
1.3362201666666669,0,21.2,4.216994318350965,21.2
1.4196948333333335,0,21.2,4.373049505000813,21.2
1.5039456666666668,0,21.2,4.466474736591783,21.2
1.586991,0,21.3,5.216184985304906,21.2
1.6703871666666665,0,21.3,5.84072355801743,21.2
1.7538203333333333,0,21.3,6.340267001922259,21.2
1.8372709999999999,0,21.3,6.715059375305806,21.2
1.920625,0,21.3,6.9646952259351265,21.2
2.0044333333333335,0,21.3,7.089255227015008,21.2
2.0875126666666666,0,21.3,7.08869537322544,21.2
2.171103,0,21.3,6.963176922681686,21.2
2.2549785,0,21.3,6.713090262096853,21.2
2.3385746666666667,70,21.3,6.338270618008397,21.3346917497695
2.422514,70,21.3,5.838440886132088,21.4699364162652
2.5058455000000004,70,21.4,5.214013743745841,21.604201730016634
2.5895946666666667,70,21.4,5.1826541908167885,21.739139996325548
2.672937833333333,70,21.4,5.744307592027773,21.873424107634452
2.756333833333333,70,21.4,6.1812863040530495,22.007793345025053
2.8400070000000004,70,21.4,7.211363327442619,22.142609158673867
2.9235113333333334,70,21.4,8.054100180249844,22.277152944812414
3.0071796666666666,70,21.4,8.710042235158243,22.411960970901703
3.0908953333333336,70,21.4,9.178507631219219,22.54684526136702
3.1742690000000002,70,21.4,9.460190164238464,22.681178514861887
3.2578235,70,21.4,9.554493858884905,22.815803130497564
3.3415131666666666,70,21.4,9.461309507851608,22.950645529263372
3.4248434999999997,70,21.4,9.180941439120566,23.084908963259057
3.508507333333333,70,21.5,8.712667893375052,23.219709738861894
3.591845,70,21.5,9.556245448019956,23.353984988465136
3.675275833333333,70,21.5,10.212209996770632,23.488410349991614
3.7588661666666665,70,21.6,11.399404716671198,23.62309270098238
3.842979166666667,70,21.6,12.337308861720771,23.75861718254787
3.926052,70,21.6,13.025087358864608,23.892465727596505
4.009505833333334,70,21.6,13.463006471269482,24.026928147164856
4.093240333333333,70,21.6,13.650561875280559,24.161842782258663
4.1768335,70,21.6,13.588108166624506,24.296529698370527
4.260169666666666,70,21.6,13.994253969185543,24.430802531144952
4.343503166666666,70,21.6,14.08769098031939,24.56507106733481
4.4271095,70,21.6,13.86874587297159,24.699779197832967
4.510499833333333,70,21.7,14.056302618708008,24.834139304981363
4.5940205,70,21.7,14.649655717296566,24.968709407700374
4.677498166666667,70,21.8,14.930750854138603,25.103210227993273
4.760949666666666,70,21.8,14.899282090661245,25.237668888050127
4.844591833333333,70,21.8,16.055187835695754,25.372434753903374
4.928172166666667,70,21.8,16.896887670670054,25.50710099270202
5.011802833333333,70,21.8,18.145497920913375,25.641848329534334
5.095169833333333,70,21.8,19.019756177106217,25.776170841567787
5.178834666666667,70,21.9,20.236470979481684,25.910973228389835
5.2625165,70,21.9,21.01548509308158,26.045803005938485
5.3458745,70,21.9,21.35824727159645,26.180111016999035
5.429288333333333,70,22.0,21.98229669719295,26.31450898779891
5.512833,70,22.0,22.106261095388227,26.449117759779003
5.596504166666667,70,22.0,23.229329669064178,26.58393035098939
5.680225666666666,70,22.0,23.852676525053127,26.718824040233443
5.763563,70,22.1,25.475034841361147,26.853098752763614
5.847169833333333,70,22.1,26.59821651975067,26.987807688871378
5.930834333333333,70,22.2,27.22210057685729,27.122609538620353
6.014166166666667,70,22.2,28.782753492429915,27.256875389444858
6.097933333333334,70,22.3,29.719110019116222,27.391842657699588
6.181489833333334,70,22.3,30.031063021594047,27.526470495773687
6.264832833333333,70,22.3,31.21551844152746,27.660754338546056
6.3484985,70,22.4,31.776464482771395,27.79555806805078
6.432168,70,22.4,32.43118562751966,27.930367973895816
6.515901666666666,70,22.5,33.895898798735296,28.065281266306947
6.599499333333334,70,22.5,34.676416535151674,28.19997543290527
6.683158333333333,70,22.6,35.48829018133288,28.334768420948578
6.766684333333333,70,22.6,35.55152304487019,28.469347116836715
6.850065333333333,70,22.6,36.36482716247257,28.60369218593914
6.933490166666666,70,22.8,36.42768415538677,28.738107880150345
7.016945,70,22.8,37.23989782494216,28.872571910937907
7.100760333333334,70,22.8,38.022215705316015,29.007616786251337
7.184656166666667,70,22.9,38.77200802199623,29.142791364711318
7.267821499999999,70,22.9,39.48872660921219,29.27678894753705
7.3515880000000005,70,23.0,40.11398464350802,29.41175514164564
7.435815833333334,70,23.1,40.64511864239748,29.547464644883952
7.5187405,70,23.1,41.79985927099995,29.6810744609527
7.602162,70,23.2,42.79528927234293,29.815484784433202
7.6854855,70,23.2,43.63317184044666,29.949737208430946
7.769028833333333,70,23.3,44.31727430263293,30.084343832118755
7.852882999999999,70,23.3,44.846217532822685,30.219451276444907
7.9362881666666665,70,23.4,45.15641945313371,30.35383528334495
